Number of MFVS nodes: 460
C1orf103	55791	0.326190214529102
KAT5	10524	-0.107886645756857
ID2	3398	0.0373429138489119
CBX5	23468	0.023047313299779
BRD7	29117	-0.162932058866467
PIAS4	51588	0.622046340073771
MLLT3	4300	-0.417175036709653
PQBP1	10084	0.299114421468317
BMI1	648	0.339570191675424
SETDB1	9869	0.426604701578386
CHD3	1107	0.111043045427033
HMGB1	3146	-0.0587377355797294
GTF3C1	2975	0.813586081719336
GOLM1	51280	1.07078075478449
MDFI	4188	-0.456432965966846
CDK7	1022	0.540555515114196
POU2F1	5451	0.233047042701067
GTF2E2	2961	0.0562740315357129
E2F1	1869	2.45502846891165
POU5F1	5460	-0.545717693831182
DYNLL1	8655	0.526820762922155
TK1	7083	3.03570896815359
SMN1	6606	0.358574469916671
ACTB	60	0.349938363580037
PARD3	56288	-0.647130570311347
EEF1A1	1915	-0.714154520422543
VIM	7431	-1.40272396504296
PCNA	5111	1.2253533939433
STAT2	6773	0.0394084109217179
MED14	9282	0.325988282401973
COPS2	9318	-0.42045422761816
TP53	7157	0.0206571697034352
KRT15	3866	-2.52923169963288
BMPR2	659	-0.56054145426058
GDF9	2661	0.471391463599184
MAPK8	5599	-0.299900764826978
CTBP1	1487	0.292909441484849
SMAD1	4086	-0.141997075437823
YWHAB	7529	0.31492261857082
ESR1	2099	0.368777890958054
FYN	2534	-1.03650222474379
CDC2	983	0.0
CASP8	841	0.0681024259069574
SHC1	6464	0.222333175031217
CRK	1398	-0.642455213313085
GNB2L1	10399	-0.361763595053427
ATXN1	6310	-0.14618201312452
PIK3R2	5296	1.13590540665119
PTK2	5747	0.342747974091566
CBLB	868	-0.277087774988193
PRKCZ	5590	1.24253956082482
UNC119	9094	0.301631792220116
RASA1	5921	-0.309749738766701
GRB2	2885	0.581232443386343
ACTN1	87	-0.440494642693762
SRC	6714	0.780925869217365
CDK2	1017	0.582463282852935
MAPK3	5595	-0.134710270536189
DAXX	1616	0.565106387384676
BAD	572	0.43059365206668
